Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
Txn_1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08
Txn_4977031,Cake,4,3.0,12.0,Cash,In-Store,2023-05-16
Txn_3160411,Coffee,2,2.0,4.0,Digital Wallet,In-Store,2023-06-11
Txn_2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07
Txn_7619095,Sandwich,2,4.0,8.0,Cash,In-Store,2023-05-03
Txn_2847255,Salad,3,5.0,15.0,Credit Card,In-Store,2023-11-15
Txn_6769710,Juice,2,3.0,6.0,Cash,In-Store,2023-02-24
Txn_3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15
Txn_3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30
Txn_5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
Txn_9400181,Sandwich,5,4.0,20.0,Cash,In-Store,2023-06-03
Txn_5183041,Cookie,5,1.0,5.0,Credit Card,In-Store,2023-04-20
Txn_5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10
Txn_8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
Txn_1080432,Salad,2,5.0,10.0,Credit Card,In-Store,2023-04-29
Txn_8078640,Juice,4,3.0,12.0,Digital Wallet,In-Store,2023-11-03
Txn_8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
Txn_6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03
Txn_3068204,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-10-03
Txn_2621580,Tea,2,1.5,3.0,Cash,In-Store,2023-03-22
Txn_4726376,Cake,2,3.0,6.0,Credit Card,In-Store,2023-01-31
Txn_6420335,Coffee,1,2.0,2.0,Cash,Takeaway,2023-07-16
Txn_3829165,Juice,4,3.0,12.0,Cash,In-Store,2023-06-15
Txn_3748616,Coffee,2,2.0,4.0,Credit Card,In-Store,2023-12-09
Txn_5266394,Cake,3,3.0,9.0,Cash,In-Store,2023-10-28
Txn_8976658,Tea,2,1.5,3.0,Credit Card,In-Store,2023-08-16
Txn_5220895,Salad,5,5.0,25.0,Cash,In-Store,2023-06-10
Txn_3085509,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-04-15
Txn_9999113,Juice,4,3.0,12.0,Cash,Takeaway,2023-05-27
Txn_8779771,Coffee,4,2.0,8.0,Cash,In-Store,2023-07-25
Txn_3808639,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
Txn_4358673,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
Txn_4368416,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-02-24
Txn_6258471,Coffee,5,2.0,10.0,Digital Wallet,In-Store,2023-09-23
Txn_4685453,Tea,4,1.5,6.0,Cash,In-Store,2023-09-14
Txn_9096052,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-12-28
Txn_5916991,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
Txn_3407169,Sandwich,2,4.0,8.0,Cash,In-Store,2023-03-11
Txn_2181545,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-07-14
Txn_1150033,Juice,5,3.0,15.0,Cash,In-Store,2023-04-18
Txn_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12
Txn_6380550,Coffee,5,2.0,10.0,Cash,In-Store,2023-01-05
Txn_4885518,Salad,3,5.0,15.0,Credit Card,In-Store,2023-06-10
Txn_5072031,Cake,2,3.0,6.0,Cash,Takeaway,2023-03-23
Txn_1928241,Coffee,3,2.0,6.0,Cash,In-Store,2023-04-30
Txn_4283157,Salad,5,5.0,25.0,Digital Wallet,In-Store,2023-11-25
Txn_1648671,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-05-21
Txn_4062737,Cake,3,3.0,9.0,Cash,In-Store,2023-07-02
